city,date,rate
Chennai,2017-06-01,434.0
Chennai,2017-08-01,464.0
Chennai,2017-09-01,468.5
Chennai,2017-10-01,470.0
Chennai,2018-06-01,481.84
Chennai,2018-07-01,484.67
Chennai,2018-08-01,486.42
Chennai,2018-09-01,488.01
Chennai,2018-10-01,490.83
Chennai,2018-11-01,493.87
Chennai,2018-12-01,488.85
Chennai,2019-01-01,482.88
Chennai,2019-02-01,481.34
Chennai,2019-03-01,483.49
Chennai,2019-04-01,483.74
Chennai,2019-05-01,484.02
Chennai,2019-06-01,485.25
Chennai,2019-07-01,482.23
Chennai,2019-11-01,696.0
Chennai,2019-12-01,714.0
Chennai,2020-01-01,734.0
Chennai,2020-02-12,878.5
Chennai,2020-03-01,825.5
Chennai,2020-04-01,761.5
Chennai,2020-05-01,599.0
Chennai,2020-06-01,606.5
Chennai,2020-07-01,610.5
Chennai,2020-09-01,610.0
Chennai,2021-01-01,710.0
Chennai,2021-02-04,735.0
Chennai,2021-02-15,785.0
Chennai,2021-02-25,810.0
Chennai,2021-04-01,825.0
Chennai,2021-05-01,825.0
Chennai,2021-07-01,850.5
Chennai,2021-08-01,850.5
Chennai,2021-08-18,875.5
Chennai,2021-09-01,900.5
Chennai,2021-10-01,900.5
Chennai,2021-10-06,915.5
Delhi,2017-01-01,434.5
Delhi,2017-04-01,440.5
Delhi,2017-05-01,442.5
Delhi,2017-06-01,446.5
Delhi,2017-07-01,473.0
Delhi,2017-08-01,477.5
Delhi,2017-09-01,481.5
Delhi,2017-10-01,483.0
Delhi,2018-04-01,493.55
Delhi,2018-06-01,483.0
Delhi,2018-07-01,496.26
Delhi,2018-08-01,498.02
Delhi,2018-09-01,499.51
Delhi,2018-10-01,502.4
Delhi,2018-11-01,505.34
Delhi,2018-12-01,500.9
Delhi,2019-01-01,494.99
Delhi,2019-02-01,493.53
Delhi,2019-03-01,495.61
Delhi,2019-04-01,495.86
Delhi,2019-05-01,496.14
Delhi,2019-06-01,494.35
Delhi,2019-06-01,497.37
Delhi,2019-07-01,494.35
Delhi,2019-11-01,681.5
Delhi,2019-12-01,695.0
Delhi,2020-01-01,714.0
Delhi,2020-02-12,858.5
Delhi,2020-03-01,805.5
Delhi,2020-04-01,744.0
Delhi,2020-05-01,581.5
Delhi,2020-06-01,593.0
Delhi,2020-07-01,594.0
Delhi,2021-01-01,694.0
Delhi,2021-02-04,719.0
Delhi,2021-02-15,769.0
Delhi,2021-02-25,794.0
Delhi,2021-04-01,809.0
Delhi,2021-05-01,809.0
Delhi,2021-07-01,834.5
Delhi,2021-08-01,834.5
Delhi,2021-08-18,859.5
Delhi,2021-09-01,884.5
Delhi,2021-10-06,899.5
Kolkata,2017-06-01,448.5
Kolkata,2017-07-01,475.0
Kolkata,2017-08-01,479.5
Kolkata,2017-09-01,483.5
Kolkata,2017-10-01,485.0
Kolkata,2018-06-01,496.65
Kolkata,2018-07-01,499.48
Kolkata,2018-08-01,501.25
Kolkata,2018-09-01,502.79
Kolkata,2018-10-01,505.64
Kolkata,2018-11-01,508.7
Kolkata,2018-12-01,504.12
Kolkata,2019-01-01,498.09
Kolkata,2019-02-01,496.57
Kolkata,2019-03-01,498.75
Kolkata,2019-04-01,499.0
Kolkata,2019-05-01,499.29
Kolkata,2019-06-01,500.52
Kolkata,2019-07-01,497.47
Kolkata,2019-11-01,706.0
Kolkata,2019-12-01,725.5
Kolkata,2020-01-01,747.0
Kolkata,2020-02-12,891.5
Kolkata,2020-03-01,838.5
Kolkata,2020-04-01,774.5
Kolkata,2020-05-01,612.0
Kolkata,2020-06-01,616.0
Kolkata,2020-07-01,620.5
Kolkata,2021-01-01,720.5
Kolkata,2021-02-04,745.5
Kolkata,2021-02-15,795.5
Kolkata,2021-02-25,820.0
Kolkata,2021-04-01,835.5
Kolkata,2021-05-01,835.5
Kolkata,2021-07-01,861.0
Kolkata,2021-08-01,861.0
Kolkata,2021-08-18,886.0
Kolkata,2021-09-01,911.0
Kolkata,2021-10-01,911.0
Kolkata,2021-10-06,926.0
Mumbai,2017-04-01,468.5
Mumbai,2017-05-01,470.5
Mumbai,2017-06-01,474.5
Mumbai,2017-07-01,488.0
Mumbai,2017-08-01,60.0
Mumbai,2017-09-01,485.5
Mumbai,2017-10-01,487.0
Mumbai,2017-12-01,482.0
Mumbai,2018-06-01,491.31
Mumbai,2018-07-01,494.1
Mumbai,2018-08-01,495.87
Mumbai,2018-09-01,497.36
Mumbai,2018-10-01,500.11
Mumbai,2018-11-01,503.11
Mumbai,2018-12-01,498.57
Mumbai,2019-01-01,492.66
Mumbai,2019-02-01,491.19
Mumbai,2019-03-01,493.32
Mumbai,2019-04-01,493.57
Mumbai,2019-05-01,493.86
Mumbai,2019-06-01,495.09
Mumbai,2019-07-01,492.04
Mumbai,2019-11-01,651.0
Mumbai,2019-12-01,665.0
Mumbai,2020-01-01,684.5
Mumbai,2020-02-12,829.0
Mumbai,2020-03-01,776.0
Mumbai,2020-04-01,714.5
Mumbai,2020-05-01,552.0
Mumbai,2020-06-01,590.5
Mumbai,2020-07-01,594.0
Mumbai,2021-01-01,694.0
Mumbai,2021-02-04,719.0
Mumbai,2021-02-04,719.0
Mumbai,2021-02-15,769.0
Mumbai,2021-02-25,794.0
Mumbai,2021-04-01,809.0
Mumbai,2021-05-01,809.0
Mumbai,2021-07-01,834.5
Mumbai,2021-08-01,834.5
Mumbai,2021-08-18,859.5
Mumbai,2021-09-01,884.5
Mumbai,2021-10-01,910.5
Mumbai,2021-10-06,899.5
